Sample,LOH:1p31.1-1p22.3,LOH:1q42.12-1q42.13,LOH:2q14.3-2q23.3,LOH:5q11.1-5q14.1,LOH:5q15-5q23.1,LOH:6q12-6q22.32,LOH:8p,LOH:10q23.1-10q25,LOH:12p13.32-12p12.3,LOH:13q12.3-13q21.1,LOH:13q21.1-13q33.1,LOH:16q12.1-16q24.3,LOH:17p,LOH:18q,LOH19p13.3-19p13.2,LOH:21q22.2-21q22.3,LOH:22q11.21-22q11.22,GAIN:3q21.2-3q29,GAIN: Whole Chr 7,GAIN: 8p23.3-8p22,GAIN:8q,GAIN: 9q12-9q21.11,GAIN: Whole Chr 19,GAIN: 22q.11.1-22q11.23,HD:10q23.1-10q25.1,ETS,SPOP,indels,PGA clonal,PGA subclonal,Ploidy,Intra/inter,Number of bkpts,Chromothripsis,Kataegis,AR_group,Obs_Sim_prop,del_bridges
PD12841,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.174871258,0,0,0,0,0,0,0,340,3.170840604,0.060186595,0,0.31,42,1,1,2,-0.02,2
PD12842,0,1,0,0.349336023,0,0,1,0.85112517,0,0,0,0,0,0,0.077506802,0,0,0,0,0,1,0,0,0,0,0,0,497,22.05991392,0.060176834,0,0.33,60,0,0,2,0.039473684,4
PD12844,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,717,37.22913721,0.286226139,1,0.22,66,0,0,3,-0.118686869,1
PD12845,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,796,29.56877771,0.595694686,1,0.11,90,0,1,1,0.104651163,2
PD13380,0,0.951241953,0,0,0,1,0.506389598,0.52453525,0,1,1,1,0.294716073,1,0,0,0,1,0.054606972,0.076461656,1,0.314039109,0.058429709,0.084671984,0,0,0,672,13.2747624,0.449230037,0,0.18,26,0,0,2,-0.045454545,0
PD13381,0,0,0,0,0,0,0.401011791,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,296,1.832366196,0.021261367,0,-99,-99,0,0,2,0.05,-99
PD13382,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,448,4.917636812,0.065679936,0,0,42,1,1,2,0,5
PD13384,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,3.871933622,0.001937717,0,0.14,98,0,1,3,-0.14375,4
PD13386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,188,1.829907035,0.002748861,0,0.38,44,0,0,1,0.234375,2
PD13387,0,0,0,0,0,1,1,1,0.965276638,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.237790554,1,0,363,4.237827365,0.068670499,0,0.17,62,0,0,1,0.169642857,1
PD13388,0,0,0,0,1,0.176333338,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,464,8.580800711,0.018113029,0,0.09,48,0,0,1,0.154545455,0
PD13389,1,0,0,0,0,0,1,1,1,1,1,1,1,0.934505521,0,1,0,0,0,0,0,0,0,0,0,1,0,370,5.357876829,0.056617312,0,-99,-99,-99,0,1,0.091772152,-99
PD13390,1,0,0,1,0,0.23735471,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,224,10.88098692,0.03045618,0,0.2,60,0,0,1,0.143939394,3
PD13393,0,0,0,0,0.805873476,0,1,0,0,0.793292141,0,0,0,1,0,0.764372353,0,0,0,0,0,0,0.089738677,0,0,0,0,328,5.69594952,0.077677222,0,0.23,164,0,0,1,0.073684211,8
PD13394,0,0,1,1,1,1,1,0,0.93027086,1,1,0,0,0,0,0,0,1,0,0.137300562,0.132404663,0,0,0,0,0,1,594,9.021706575,0.098229808,0,0.1,138,1,1,3,-0.113300493,5
PD13395,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.343514025,0,0.196402399,0,0,0,0,0,0,0,283,9.085993995,0.053455615,0,0.38,22,0,0,3,-0.166666667,2
PD13396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,367,1.885556118,0.0018673,0,0,12,0,1,2,-0.083333333,0
PD13398,0,1,0,0,0,0.121384718,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,277,3.706417451,0.095307078,0,0.01,76,0,1,2,-0.021428571,1
PD13399,0,0,0,1,0,0.762613143,1,1,0,1,0,0.165292197,0,0,0,1,1,0,0,0,0,0.649253702,0,0.311579903,0.235764093,1,0,326,2.407315278,0.126896814,0,0.24,152,1,0,2,0.0625,9
PD13401,0,0,0,0.105417173,0.105417173,0,1,0,0,0.087508123,0.106555175,0.955969812,0.197583754,0.298272932,0,1,0,0,0.07827601,0,1,1,0,0,0,1,0,536,2.31693737,0.307715523,0,0.41,38,0,0,1,0.146551724,2
